,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
137,7.0,5.0,14.0,10.0,20.0,24.0,24.0,12.0,13.0,9.0,20.0,24.0,21.0,23.0,8.0,8.0,4.0,4.0,19.0,21.0,24.0
138,11.0,4.0,16.0,18.0,10.0,24.0,21.0,15.0,15.0,14.0,17.0,22.0,16.0,21.0,17.0,12.0,8.0,8.0,21.0,6.0,18.0
139,14.0,12.0,14.0,11.0,10.0,19.0,24.0,19.0,11.0,15.0,20.0,16.0,18.0,24.0,24.0,15.0,7.0,10.0,4.0,12.0,15.0
140,6.0,8.0,17.0,13.0,13.0,24.0,23.0,16.0,22.0,8.0,16.0,17.0,20.0,24.0,16.0,6.0,5.0,8.0,14.0,22.0,16.0
141,6.0,9.0,16.0,13.0,12.0,24.0,24.0,14.0,18.0,15.0,15.0,19.0,18.0,19.0,18.0,5.0,6.0,3.0,18.0,18.0,24.0
142,16.0,7.0,10.0,13.0,12.0,24.0,22.0,19.0,14.0,16.0,17.0,19.0,14.0,24.0,24.0,10.0,6.0,10.0,11.0,12.0,14.0
143,8.0,8.0,10.0,15.0,15.0,24.0,24.0,14.0,13.0,13.0,19.0,20.0,20.0,24.0,19.0,8.0,9.0,6.0,19.0,7.0,19.0
144,7.0,4.0,12.0,19.0,18.0,20.0,24.0,14.0,8.0,14.0,22.0,20.0,21.0,20.0,16.0,6.0,4.0,5.0,17.0,19.0,24.0
145,8.0,6.0,15.0,16.0,11.0,24.0,24.0,19.0,12.0,20.0,18.0,14.0,16.0,22.0,15.0,11.0,2.0,8.0,19.0,15.0,19.0
146,11.0,7.0,9.0,10.0,19.0,24.0,24.0,12.0,8.0,15.0,24.0,22.0,18.0,23.0,23.0,8.0,7.0,3.0,18.0,16.0,13.0
147,6.0,3.0,19.0,20.0,17.0,21.0,18.0,17.0,10.0,13.0,17.0,20.0,22.0,22.0,6.0,5.0,3.0,13.0,15.0,24.0,23.0
148,0.0,12.0,9.0,21.0,14.0,24.0,24.0,18.0,14.0,11.0,24.0,12.0,20.0,24.0,11.0,7.0,6.0,4.0,21.0,20.0,18.0
149,12.0,3.0,16.0,14.0,21.0,18.0,20.0,16.0,11.0,17.0,18.0,18.0,19.0,15.0,14.0,11.0,5.0,18.0,16.0,14.0,18.0
150,4.0,3.0,22.0,16.0,11.0,24.0,24.0,13.0,14.0,18.0,13.0,20.0,21.0,24.0,15.0,7.0,10.0,3.0,17.0,18.0,17.0
151,5.0,5.0,11.0,16.0,20.0,24.0,23.0,10.0,8.0,14.0,19.0,24.0,24.0,24.0,7.0,4.0,7.0,3.0,22.0,20.0,24.0
152,6.0,8.0,9.0,16.0,17.0,24.0,24.0,18.0,13.0,12.0,24.0,14.0,18.0,24.0,23.0,6.0,11.0,11.0,15.0,11.0,10.0
153,14.0,5.0,17.0,13.0,14.0,20.0,21.0,12.0,12.0,17.0,17.0,22.0,19.0,24.0,17.0,11.0,4.0,2.0,18.0,21.0,14.0
