,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
97,11.0,13.0,10.0,12.0,24.0,20.0,13.0,11.0,4.0,3.0,19.0,5.0,24.0,24.0,19.0,5.0,6.0,9.0,6.0,15.0,23.0,24.0,24.0
98,3.0,13.0,10.0,8.0,21.0,24.0,24.0,8.0,7.0,9.0,18.0,12.0,7.0,24.0,24.0,3.0,9.0,2.0,9.0,24.0,24.0,17.0,24.0
99,22.0,18.0,9.0,6.0,24.0,12.0,12.0,8.0,15.0,22.0,16.0,8.0,10.0,17.0,13.0,4.0,3.0,14.0,4.0,18.0,21.0,24.0,24.0
100,14.0,24.0,15.0,3.0,20.0,5.0,22.0,7.0,7.0,9.0,9.0,24.0,6.0,23.0,24.0,4.0,7.0,8.0,8.0,24.0,18.0,24.0,19.0
101,4.0,18.0,12.0,20.0,20.0,12.0,17.0,6.0,15.0,5.0,14.0,15.0,19.0,19.0,16.0,4.0,18.0,4.0,4.0,23.0,17.0,22.0,20.0
102,23.0,9.0,6.0,6.0,24.0,17.0,18.0,8.0,18.0,12.0,4.0,6.0,13.0,24.0,24.0,11.0,15.0,9.0,7.0,16.0,15.0,24.0,15.0
103,3.0,12.0,21.0,5.0,20.0,21.0,21.0,0.0,12.0,5.0,18.0,18.0,24.0,16.0,16.0,1.0,10.0,4.0,15.0,19.0,17.0,22.0,24.0
104,24.0,16.0,14.0,8.0,19.0,14.0,8.0,5.0,14.0,18.0,16.0,11.0,16.0,17.0,12.0,2.0,6.0,19.0,9.0,12.0,19.0,24.0,21.0
105,10.0,6.0,14.0,22.0,21.0,16.0,14.0,14.0,3.0,3.0,21.0,13.0,18.0,18.0,19.0,6.0,16.0,7.0,15.0,20.0,18.0,18.0,12.0
106,11.0,13.0,13.0,14.0,24.0,11.0,17.0,1.0,10.0,8.0,24.0,18.0,14.0,21.0,13.0,6.0,2.0,13.0,12.0,20.0,20.0,18.0,21.0
