,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
62,0.0,4.0,18.0,19.0,15.0,20.0,20.0,9.0,14.0,17.0,20.0,20.0,21.0,14.0,8.0,6.0,6.0,21.0,19.0,22.0,19.0,20.0,20.0,17.0,15.0,11.0,0.0,22.0,22.0,20.0,18.0,22.0,2.0,1.0,2.0
63,7.0,8.0,13.0,16.0,14.0,19.0,19.0,14.0,11.0,17.0,20.0,18.0,21.0,12.0,14.0,10.0,10.0,16.0,16.0,18.0,20.0,18.0,17.0,16.0,17.0,12.0,2.0,19.0,19.0,18.0,16.0,21.0,5.0,7.0,4.0
64,2.0,1.0,18.0,18.0,15.0,21.0,21.0,11.0,13.0,17.0,19.0,20.0,21.0,10.0,8.0,12.0,6.0,20.0,20.0,20.0,19.0,20.0,21.0,15.0,15.0,9.0,3.0,21.0,21.0,19.0,17.0,20.0,7.0,2.0,2.0
65,1.0,2.0,15.0,19.0,13.0,22.0,24.0,10.0,10.0,17.0,20.0,21.0,23.0,13.0,8.0,7.0,11.0,20.0,20.0,17.0,23.0,21.0,17.0,13.0,15.0,10.0,3.0,23.0,22.0,18.0,18.0,19.0,2.0,5.0,2.0
66,2.0,4.0,17.0,19.0,14.0,19.0,21.0,12.0,12.0,15.0,21.0,19.0,22.0,14.0,8.0,8.0,7.0,18.0,21.0,20.0,20.0,20.0,18.0,12.0,19.0,12.0,1.0,21.0,21.0,20.0,20.0,20.0,2.0,3.0,2.0
67,2.0,4.0,19.0,16.0,12.0,21.0,22.0,10.0,10.0,15.0,22.0,21.0,23.0,9.0,11.0,8.0,9.0,18.0,19.0,22.0,22.0,21.0,23.0,16.0,12.0,8.0,0.0,22.0,22.0,20.0,19.0,21.0,2.0,1.0,2.0
68,2.0,3.0,15.0,19.0,11.0,23.0,23.0,11.0,10.0,16.0,18.0,23.0,23.0,13.0,12.0,2.0,4.0,23.0,20.0,22.0,21.0,21.0,22.0,15.0,13.0,9.0,1.0,22.0,22.0,17.0,19.0,22.0,3.0,2.0,2.0
69,8.0,15.0,14.0,11.0,15.0,16.0,17.0,14.0,15.0,14.0,19.0,17.0,22.0,13.0,15.0,12.0,14.0,14.0,14.0,14.0,19.0,16.0,16.0,14.0,14.0,14.0,9.0,16.0,17.0,17.0,16.0,15.0,6.0,11.0,11.0
70,2.0,4.0,18.0,19.0,8.0,23.0,22.0,8.0,10.0,15.0,22.0,23.0,23.0,11.0,11.0,8.0,7.0,17.0,20.0,22.0,22.0,22.0,19.0,15.0,14.0,8.0,2.0,21.0,21.0,17.0,19.0,22.0,3.0,3.0,3.0
71,4.0,3.0,17.0,18.0,14.0,20.0,20.0,13.0,14.0,17.0,18.0,20.0,19.0,12.0,8.0,7.0,7.0,20.0,21.0,21.0,18.0,19.0,18.0,16.0,17.0,12.0,2.0,21.0,21.0,19.0,16.0,20.0,3.0,5.0,4.0
72,3.0,1.0,19.0,18.0,12.0,21.0,22.0,9.0,10.0,15.0,21.0,22.0,24.0,10.0,11.0,7.0,8.0,20.0,19.0,21.0,20.0,19.0,21.0,14.0,14.0,13.0,1.0,21.0,21.0,22.0,17.0,19.0,2.0,3.0,4.0
73,2.0,2.0,15.0,18.0,14.0,21.0,24.0,13.0,12.0,15.0,19.0,21.0,21.0,13.0,10.0,4.0,5.0,19.0,21.0,24.0,20.0,20.0,21.0,17.0,13.0,10.0,1.0,23.0,24.0,18.0,18.0,20.0,1.0,4.0,1.0
74,10.0,11.0,14.0,14.0,14.0,16.0,17.0,16.0,15.0,16.0,17.0,18.0,19.0,11.0,13.0,12.0,10.0,17.0,17.0,16.0,16.0,17.0,17.0,14.0,14.0,13.0,11.0,18.0,16.0,16.0,15.0,16.0,10.0,9.0,9.0
75,4.0,1.0,19.0,18.0,12.0,23.0,19.0,11.0,12.0,16.0,20.0,21.0,21.0,11.0,11.0,8.0,6.0,20.0,20.0,20.0,20.0,19.0,20.0,15.0,13.0,14.0,1.0,23.0,24.0,20.0,17.0,20.0,2.0,2.0,1.0
76,4.0,3.0,16.0,16.0,12.0,23.0,22.0,9.0,10.0,16.0,20.0,23.0,23.0,9.0,11.0,6.0,8.0,21.0,21.0,20.0,20.0,19.0,21.0,15.0,12.0,13.0,2.0,23.0,22.0,22.0,17.0,20.0,1.0,3.0,1.0
77,8.0,7.0,11.0,16.0,11.0,21.0,22.0,11.0,10.0,16.0,16.0,24.0,24.0,16.0,15.0,11.0,9.0,15.0,15.0,15.0,23.0,20.0,17.0,15.0,12.0,10.0,5.0,21.0,22.0,14.0,16.0,22.0,5.0,5.0,4.0
78,12.0,17.0,12.0,13.0,11.0,15.0,16.0,15.0,15.0,16.0,18.0,16.0,21.0,15.0,15.0,15.0,15.0,12.0,13.0,11.0,18.0,16.0,15.0,12.0,15.0,14.0,12.0,14.0,14.0,16.0,15.0,14.0,11.0,15.0,10.0
79,2.0,1.0,15.0,20.0,15.0,21.0,22.0,14.0,13.0,13.0,20.0,20.0,21.0,12.0,12.0,4.0,9.0,18.0,20.0,21.0,20.0,17.0,19.0,16.0,14.0,14.0,2.0,22.0,23.0,20.0,17.0,19.0,1.0,2.0,5.0
80,6.0,9.0,14.0,16.0,15.0,18.0,18.0,14.0,14.0,17.0,19.0,18.0,19.0,12.0,11.0,11.0,10.0,17.0,18.0,17.0,19.0,19.0,17.0,15.0,14.0,12.0,6.0,18.0,19.0,20.0,16.0,18.0,5.0,9.0,4.0
81,13.0,13.0,12.0,14.0,12.0,15.0,17.0,14.0,13.0,17.0,19.0,18.0,20.0,13.0,15.0,12.0,16.0,13.0,15.0,12.0,19.0,16.0,16.0,14.0,14.0,13.0,10.0,15.0,16.0,15.0,14.0,13.0,11.0,14.0,11.0
82,6.0,4.0,13.0,15.0,13.0,21.0,24.0,12.0,12.0,12.0,21.0,23.0,21.0,13.0,9.0,8.0,8.0,22.0,18.0,18.0,20.0,22.0,18.0,14.0,12.0,16.0,0.0,21.0,23.0,21.0,17.0,20.0,1.0,4.0,2.0
83,4.0,8.0,15.0,15.0,13.0,20.0,21.0,12.0,13.0,14.0,19.0,20.0,23.0,12.0,14.0,10.0,8.0,18.0,16.0,18.0,20.0,18.0,20.0,16.0,12.0,13.0,3.0,18.0,21.0,16.0,19.0,19.0,6.0,5.0,5.0
84,4.0,5.0,16.0,19.0,10.0,20.0,22.0,12.0,11.0,15.0,20.0,21.0,22.0,13.0,10.0,8.0,7.0,19.0,20.0,19.0,22.0,21.0,19.0,11.0,16.0,12.0,1.0,20.0,22.0,18.0,19.0,19.0,5.0,3.0,3.0
85,7.0,7.0,13.0,16.0,14.0,19.0,20.0,12.0,13.0,16.0,19.0,19.0,22.0,11.0,11.0,9.0,9.0,18.0,19.0,19.0,20.0,19.0,20.0,12.0,13.0,12.0,6.0,20.0,21.0,18.0,18.0,20.0,5.0,5.0,2.0
86,11.0,12.0,14.0,11.0,12.0,17.0,19.0,13.0,15.0,16.0,19.0,19.0,19.0,15.0,14.0,11.0,11.0,14.0,15.0,16.0,19.0,18.0,16.0,13.0,12.0,15.0,9.0,19.0,17.0,15.0,19.0,16.0,9.0,9.0,5.0
87,6.0,5.0,15.0,19.0,9.0,21.0,21.0,9.0,8.0,16.0,21.0,23.0,24.0,12.0,13.0,3.0,2.0,22.0,21.0,23.0,22.0,21.0,21.0,14.0,10.0,12.0,2.0,24.0,21.0,18.0,17.0,21.0,3.0,2.0,3.0
88,2.0,0.0,18.0,19.0,11.0,23.0,23.0,9.0,11.0,15.0,20.0,22.0,24.0,10.0,11.0,6.0,8.0,20.0,20.0,21.0,19.0,19.0,21.0,15.0,13.0,13.0,2.0,21.0,21.0,23.0,18.0,18.0,2.0,3.0,3.0
89,6.0,6.0,15.0,17.0,15.0,19.0,18.0,15.0,13.0,15.0,18.0,19.0,21.0,14.0,10.0,8.0,8.0,19.0,19.0,18.0,19.0,19.0,17.0,14.0,14.0,13.0,6.0,19.0,19.0,19.0,16.0,19.0,4.0,7.0,6.0
90,1.0,2.0,14.0,20.0,15.0,22.0,22.0,11.0,11.0,15.0,23.0,18.0,23.0,11.0,11.0,5.0,4.0,23.0,20.0,22.0,21.0,23.0,22.0,16.0,8.0,10.0,2.0,22.0,22.0,19.0,20.0,22.0,1.0,1.0,2.0
91,2.0,2.0,16.0,18.0,13.0,23.0,22.0,11.0,11.0,14.0,20.0,23.0,22.0,14.0,9.0,5.0,7.0,21.0,20.0,20.0,24.0,23.0,18.0,14.0,12.0,10.0,1.0,21.0,21.0,19.0,20.0,22.0,2.0,3.0,1.0
92,8.0,6.0,14.0,14.0,15.0,19.0,20.0,16.0,14.0,12.0,19.0,20.0,20.0,14.0,10.0,9.0,10.0,19.0,17.0,17.0,19.0,20.0,18.0,17.0,16.0,11.0,1.0,20.0,20.0,16.0,17.0,20.0,6.0,6.0,4.0
93,4.0,6.0,16.0,17.0,12.0,20.0,21.0,12.0,12.0,16.0,19.0,21.0,21.0,14.0,13.0,7.0,8.0,18.0,18.0,18.0,21.0,19.0,19.0,16.0,13.0,11.0,3.0,20.0,21.0,17.0,17.0,21.0,2.0,6.0,5.0
94,5.0,10.0,10.0,20.0,7.0,21.0,23.0,13.0,10.0,11.0,20.0,24.0,23.0,15.0,16.0,15.0,9.0,9.0,14.0,18.0,23.0,19.0,18.0,18.0,9.0,13.0,2.0,17.0,23.0,16.0,18.0,21.0,3.0,8.0,3.0
