,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
49,20.0,11.0,5.0,20.0,10.0,20.0,24.0,8.0,17.0,13.0,22.0,16.0,17.0,17.0,24.0,24.0,16.0,17.0,7.0,12.0,4.0,5.0,4.0,20.0,23.0,18.0,24.0,8.0,21.0,18.0,15.0,6.0,9.0,16.0,19.0
50,15.0,11.0,12.0,10.0,15.0,24.0,23.0,11.0,18.0,10.0,22.0,9.0,16.0,24.0,24.0,24.0,24.0,8.0,6.0,6.0,12.0,5.0,6.0,19.0,20.0,17.0,21.0,14.0,16.0,19.0,11.0,11.0,12.0,11.0,24.0
51,24.0,11.0,9.0,14.0,8.0,20.0,24.0,11.0,24.0,24.0,18.0,9.0,14.0,10.0,21.0,24.0,23.0,18.0,5.0,6.0,7.0,10.0,10.0,10.0,24.0,14.0,24.0,10.0,23.0,22.0,9.0,6.0,10.0,10.0,24.0
52,19.0,12.0,14.0,10.0,10.0,24.0,21.0,10.0,19.0,22.0,17.0,18.0,10.0,14.0,24.0,24.0,14.0,19.0,7.0,8.0,8.0,4.0,12.0,12.0,17.0,23.0,18.0,16.0,16.0,22.0,11.0,13.0,6.0,14.0,22.0
53,13.0,7.0,14.0,11.0,23.0,20.0,22.0,10.0,20.0,22.0,18.0,6.0,21.0,13.0,24.0,17.0,18.0,16.0,13.0,5.0,11.0,7.0,16.0,21.0,13.0,14.0,15.0,16.0,24.0,16.0,10.0,12.0,9.0,13.0,20.0
54,17.0,16.0,9.0,7.0,13.0,24.0,24.0,9.0,9.0,20.0,21.0,10.0,24.0,17.0,24.0,23.0,21.0,12.0,7.0,9.0,8.0,1.0,10.0,14.0,18.0,19.0,22.0,18.0,24.0,11.0,8.0,19.0,7.0,11.0,24.0
55,17.0,14.0,14.0,12.0,21.0,20.0,12.0,18.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,16.0,17.0,9.0,20.0,9.0,12.0,13.0,7.0,17.0,20.0,19.0,14.0,22.0,22.0,7.0,6.0,15.0,17.0,15.0
56,24.0,15.0,6.0,7.0,12.0,22.0,24.0,10.0,15.0,21.0,17.0,16.0,22.0,9.0,24.0,24.0,23.0,10.0,10.0,7.0,6.0,2.0,11.0,16.0,20.0,24.0,14.0,15.0,24.0,24.0,4.0,9.0,14.0,5.0,24.0
57,17.0,18.0,15.0,11.0,16.0,14.0,19.0,12.0,18.0,14.0,11.0,11.0,24.0,20.0,24.0,24.0,23.0,9.0,4.0,5.0,15.0,6.0,14.0,21.0,17.0,13.0,16.0,15.0,13.0,11.0,11.0,24.0,11.0,16.0,18.0
58,19.0,13.0,14.0,12.0,17.0,11.0,24.0,14.0,20.0,20.0,17.0,7.0,21.0,11.0,24.0,20.0,18.0,17.0,6.0,8.0,11.0,11.0,9.0,21.0,22.0,13.0,10.0,16.0,20.0,22.0,14.0,11.0,8.0,13.0,16.0
59,19.0,16.0,7.0,7.0,15.0,22.0,24.0,13.0,19.0,18.0,21.0,12.0,19.0,8.0,20.0,24.0,21.0,18.0,3.0,7.0,11.0,8.0,10.0,17.0,19.0,13.0,21.0,14.0,24.0,24.0,9.0,7.0,7.0,9.0,24.0
60,24.0,14.0,13.0,7.0,12.0,16.0,24.0,16.0,21.0,21.0,16.0,9.0,11.0,16.0,23.0,24.0,22.0,13.0,6.0,7.0,9.0,7.0,7.0,15.0,20.0,21.0,21.0,11.0,20.0,24.0,11.0,7.0,9.0,11.0,22.0
61,13.0,17.0,13.0,15.0,9.0,19.0,24.0,12.0,14.0,16.0,10.0,10.0,24.0,24.0,24.0,24.0,23.0,12.0,8.0,7.0,6.0,4.0,13.0,7.0,24.0,21.0,23.0,10.0,24.0,17.0,11.0,8.0,8.0,15.0,21.0
62,17.0,12.0,15.0,13.0,18.0,17.0,18.0,4.0,21.0,17.0,17.0,12.0,21.0,18.0,23.0,19.0,20.0,20.0,3.0,14.0,5.0,9.0,11.0,16.0,17.0,18.0,18.0,13.0,15.0,16.0,24.0,13.0,11.0,9.0,16.0
63,19.0,17.0,7.0,13.0,7.0,24.0,23.0,6.0,19.0,19.0,24.0,15.0,20.0,7.0,21.0,20.0,24.0,24.0,6.0,5.0,4.0,8.0,14.0,11.0,21.0,19.0,16.0,13.0,24.0,24.0,9.0,7.0,12.0,4.0,24.0
64,12.0,18.0,10.0,11.0,12.0,24.0,23.0,24.0,11.0,4.0,20.0,4.0,24.0,23.0,24.0,24.0,24.0,6.0,9.0,10.0,7.0,0.0,13.0,15.0,19.0,22.0,14.0,19.0,14.0,24.0,10.0,12.0,10.0,16.0,18.0
65,11.0,16.0,12.0,17.0,14.0,16.0,24.0,9.0,15.0,14.0,19.0,10.0,19.0,24.0,23.0,23.0,19.0,15.0,9.0,11.0,4.0,1.0,1.0,19.0,23.0,24.0,22.0,12.0,21.0,12.0,13.0,9.0,8.0,17.0,24.0
66,18.0,14.0,9.0,11.0,19.0,15.0,24.0,21.0,9.0,22.0,19.0,7.0,14.0,18.0,22.0,23.0,20.0,16.0,9.0,9.0,5.0,6.0,9.0,12.0,23.0,20.0,15.0,17.0,16.0,21.0,10.0,7.0,14.0,12.0,24.0
67,18.0,18.0,10.0,11.0,20.0,17.0,16.0,11.0,13.0,18.0,15.0,13.0,21.0,19.0,24.0,23.0,18.0,9.0,7.0,11.0,12.0,5.0,18.0,21.0,13.0,15.0,12.0,18.0,24.0,19.0,11.0,11.0,13.0,13.0,13.0
